id;pseudo;mot_de_passe;date_inscription;est_administrateur
1;thoroughly psst;essay;2024-11-25T03:21:31;true
2;retool;through;2024-11-25T04:15:57;true
3;authorized;calmly;2024-11-25T02:13:32;true
4;um peaceful strict;once meh hydrolyze;2024-11-25T02:44:07;true
5;an comb unnaturally;stool abaft;2024-11-24T19:28:32;false
6;jut;dividend;2024-11-25T09:56:24;false
7;opera briskly till;whenever;2024-11-24T18:53:00;false
8;likewise;anesthetize;2024-11-25T02:29:34;true
9;ew whoa starboard;haircut vaguely polite;2024-11-25T10:37:30;true
10;blindly recklessly final;enchanting lest;2024-11-24T21:09:07;false
